Топоним,Топоним (оригинал/транскр),Тип,Источник ,Главы в источниках,Исторические памятники и параллели,Комментарии,"Топогеографичский указатель КЦ, стр."
Magog,მაგოგისთაჲ [magogistay],,"Martyr. S. Habo // წამებაჲ წმიდისა და ნეტარისა მოწამისა ქრისტესისა ჰაბოჲსი, 
რომელი იწამა ქართლს შინა, ქალაქსა ტფილისს, ჴელითა 
სარკინოზთაჲთა, გამოთქუმული იოვანე ძისა საბანისი ბრძანებითა ქრისტჱს მიერ სამოელ ქართლისა კათალიკოზისაჲთა/",2,-,,-
Nicaea,ნიკეას [nik’eas],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,4,,,-
Persia,სპარსეთით [sparset'it'],,Passio S. Eustathii Mcchet.// მარტჳლობაჲ და მოთმინებაჲ წმიდისა ევსტათი მცხეთელისაჲ,1,,Персии,-
Persia ,"სპარსეთი
[sparset’i]",,"Passio Gobroni // წამებაჲ წმიდისა მოწამისა გობრონისი, რომელი განიყვანეს ყველის ციხით", 2 (Line of ed.:28),,The Sasanian World through Georgian Eyes. Stephen H. Rapp Jr,-
Pitali,პიტალანისასა [p’it’alani],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,3,,,-
Rome,ჰრომით [hrom],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,11,,,-
Rome,ჰრომედ [hrome],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,3,,,
Sebastia,საბასტანით [sabast’anit],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,10,,,-
Sidon,სიდონია [sidonia],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,8,,,-
Sinai,სინაჲ [sinay],,Passio S. Eustathii Mcchet.// მარტჳლობაჲ და მოთმინებაჲ წმიდისა ევსტათი მცხეთელისაჲ,5,,гора Синай,-
Syria,სპარსეთისაჲ [sharset'isay],,Passio S. Eustathii Mcchet.// მარტჳლობაჲ და მოთმინებაჲ წმიდისა ევსტათი მცხეთელისაჲ,3,,Сирии,-
,სივნიელმან [sivnielman],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,2,,,-
,კედარისათა [k’edarisata],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,10,,,-
,ერგჳს [ergŭis],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,12,,,-
